dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__CAL_R1_K125,D0,125,CAL,R1,PC 14:0_17:0,PC,0.00033931378645999136,,NOT_COMPUTED,False,False,False,"[738, 841]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 14:0_17:1,PC,0.00042040077086461544,,NOT_COMPUTED,False,False,False,"[741, 843]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 14:0_18:0,PC,1.2233984681993919e-05,,NOT_COMPUTED,False,False,False,"[714, 823]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 14:0_18:1,PC,1.9697813899837005e-07,,NOT_COMPUTED,False,False,False,"[715, 824]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 14:0_18:2,PC,0.0,,NOT_COMPUTED,False,False,False,"[716, 825]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 14:0_18:3,PC,3.5754591714164862e-06,,NOT_COMPUTED,False,False,False,"[717, 826]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 14:0_20:5,PC,0.0018786670642162774,3.040263883007579e-21,COMPUTED,True,False,False,[718]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 15:0_15:0,PC,3.7611047786784213e-06,,NOT_COMPUTED,False,False,False,"[746, 846]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 15:0_16:0,PC,4.655837358999427e-09,,NOT_COMPUTED,False,False,False,"[732, 838]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 15:0_16:1,PC,1.0754611464463705e-08,,NOT_COMPUTED,False,False,False,"[733, 839]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 15:0_17:0,PC,0.0010247455854816116,0.0,COMPUTED,True,False,False,"[747, 847]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 15:0_17:1,PC,0.0,,NOT_COMPUTED,False,False,False,"[748, 848]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 15:0_18:0,PC,1.207454368411999e-07,,NOT_COMPUTED,False,False,False,[734]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 15:0_18:1,PC,0.0,,NOT_COMPUTED,False,False,False,[735]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 15:0_18:2,PC,0.00013632676364234278,,NOT_COMPUTED,False,False,False,[736]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 15:0_18:3,PC,0.0,,NOT_COMPUTED,False,False,False,[737]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 16:0_16:0,PC,2.54263615346979e-06,,NOT_COMPUTED,False,False,False,"[719, 827]"
