scope,score,threshold,n_retained,TP,FP,precision,FDR,all_truth_recall,reportable_truth_recall,coverage
POOLED,rho_zero,4.95115963961107e-21,296,282,14,0.9527027027027027,0.0472972972972973,0.6878048780487804,0.7919254658385093,0.5849802371541502
POOLED,rho_zero,4.841854797470084e-21,297,282,15,0.9494949494949495,0.050505050505050504,0.6878048780487804,0.7919254658385093,0.5869565217391305
POOLED,rho_zero,4.5170668401664995e-21,298,282,16,0.9463087248322147,0.053691275167785234,0.6878048780487804,0.7919254658385093,0.5889328063241107
POOLED,rho_zero,4.413419367181705e-21,299,282,17,0.9431438127090301,0.056856187290969896,0.6878048780487804,0.7919254658385093,0.5909090909090909
POOLED,rho_zero,4.20583317854836e-21,300,282,18,0.94,0.06,0.6878048780487804,0.7919254658385093,0.5928853754940712
POOLED,rho_zero,4.181067059929832e-21,301,282,19,0.9368770764119602,0.06312292358803986,0.6878048780487804,0.7919254658385093,0.5948616600790514
POOLED,rho_zero,4.047671596560658e-21,302,282,20,0.9337748344370861,0.06622516556291391,0.6878048780487804,0.7919254658385093,0.5968379446640316
POOLED,rho_zero,3.7277860310115426e-21,303,282,21,0.9306930693069307,0.06930693069306931,0.6878048780487804,0.7919254658385093,0.5988142292490118
POOLED,rho_zero,3.0012828995962487e-21,304,282,22,0.9276315789473685,0.07236842105263158,0.6878048780487804,0.7919254658385093,0.6007905138339921
POOLED,rho_zero,2.88223417605786e-21,305,282,23,0.9245901639344263,0.07540983606557378,0.6878048780487804,0.7919254658385093,0.6027667984189723
POOLED,rho_zero,2.7704993032809e-21,306,282,24,0.9215686274509803,0.0784313725490196,0.6878048780487804,0.7919254658385093,0.6047430830039525
POOLED,rho_zero,2.543040682530419e-21,307,282,25,0.9185667752442996,0.08143322475570032,0.6878048780487804,0.7919254658385093,0.6067193675889329
POOLED,rho_zero,2.1383713466317175e-21,308,282,26,0.9155844155844156,0.08441558441558442,0.6878048780487804,0.7919254658385093,0.6086956521739131
POOLED,rho_zero,1.787173664363264e-21,309,282,27,0.912621359223301,0.08737864077669903,0.6878048780487804,0.7919254658385093,0.6106719367588933
POOLED,rho_zero,1.568548123779738e-21,310,282,28,0.9096774193548387,0.09032258064516129,0.6878048780487804,0.7919254658385093,0.6126482213438735
POOLED,rho_zero,1.436180471840163e-21,311,282,29,0.9067524115755627,0.0932475884244373,0.6878048780487804,0.7919254658385093,0.6146245059288538
POOLED,rho_zero,1.4292323076745652e-21,312,282,30,0.9038461538461539,0.09615384615384616,0.6878048780487804,0.7919254658385093,0.616600790513834
POOLED,rho_zero,1.3832468813319112e-21,313,282,31,0.9009584664536742,0.09904153354632587,0.6878048780487804,0.7919254658385093,0.6185770750988142
