method,lipid_name,lipid_class,raw_solver_reported,X_hat,rho_zero,rho_status,predictive_gain,positive_block_fraction,joint_score,retained_by_pool,retained_by_fdp5,retained_by_fdp1
NNLS,PE 20:4_20:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_20:0,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_20:1,PE,False,0,,UNREPORTED,-2.0959864266277753e-17,0.0,,False,False,False
NNLS,PE 17:0_20:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_20:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_20:4,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_20:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_22:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_22:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_22:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_22:4,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_22:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:0_22:6,PE,False,0,,UNREPORTED,7.049848895352325e-05,0.125,,False,False,False
NNLS,PE 20:0_17:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:1_20:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:1_20:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:1_20:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:1_20:4,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:1_22:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:1_22:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:1_22:4,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:1_22:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 17:1_22:6,PE,False,0,,UNREPORTED,-0.0004908578214654969,0.125,,False,False,False
NNLS,PE O-16:0_22:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE O-16:0_22:2,PE,False,0,,UNREPORTED,-2.904087726936632e-05,0.0,,False,False,False
NNLS,PE O-16:0_22:3,PE,True,0.0010308952529397477,,NOT_COMPUTED_ZERO_COEFFICIENT,1.138513814752297e-05,0.25,0.0024059952220627707,False,False,False
NNLS,PE O-16:0_22:4,PE,True,0.0033844638265654796,0.0,CACHED_FULL_FOREGROUND,0.00016584755094616743,0.2,0.41475385773132706,False,False,False
NNLS,PE O-16:0_22:5,PE,False,0,,UNREPORTED,-0.002452981150612575,0.0,,False,False,False
NNLS,PE O-16:0_22:6,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE O-16:1_22:0,PE,False,0,,UNREPORTED,7.106483513129305e-07,0.25,,False,False,False
NNLS,PE O-16:1_22:1,PE,True,0.0017190480819546364,5.669198324961753e-06,CACHED_FULL_FOREGROUND,0.007649155929950102,0.5,0.0543898645016782,False,False,False
NNLS,PE O-16:1_22:2,PE,True,0.001892824587816272,1.0084685632259315e-05,CACHED_FULL_FOREGROUND,-0.02637345277359265,0.75,0.017374442299571278,False,False,False
NNLS,PE O-16:1_22:3,PE,False,0,,UNREPORTED,-9.615590120989278e-05,0.0,,False,False,False
NNLS,PE O-16:1_22:4,PE,True,0.0017131073592936445,0.0,CACHED_FULL_FOREGROUND,0.0010255242604492781,0.2,0.03679168740493628,False,False,False
NNLS,PE O-16:1_22:5,PE,False,0,,UNREPORTED,-0.00017585929532277066,0.0,,False,False,False
