dataset_id,lipid_name,K,replicate,truth,reportable_truth,clean_raw,mild_raw,clean_rho,mild_rho,clean_X_hat,mild_X_hat,clean_at_clean,clean_at_mild,mild_at_clean,mild_at_mild,score_direction,cone_isolation,max_fragment_cosine
HOLD_R1_K050,PE 16:0_24:4,50,R1,False,False,False,False,,,4.977087370990079e-06,3.4845926689741486e-05,False,False,False,False,not_jointly_reported,0.20377617848089738,0.9122851422164004
HOLD_R1_K050,PE 16:0_24:5,50,R1,True,True,True,True,2.0465291309728653e-05,1.6004753764612977e-05,0.014524394803799655,0.01481336933159009,True,True,True,False,down,0.21271686018449112,0.9348240213453116
HOLD_R1_K050,PE 16:0_24:6,50,R1,False,False,False,False,,,1.9567954159367215e-07,0.0,False,False,False,False,not_jointly_reported,0.354462542162506,0.9120817497666402
HOLD_R1_K050,PE 16:1_22:1,50,R1,True,True,True,True,3.381589542116162e-05,2.5533586244276686e-05,0.028844223364404252,0.027050248408161306,True,True,True,True,down,0.29634414058106057,0.6962164662208943
HOLD_R1_K050,PE 16:1_22:2,50,R1,False,False,True,True,0.0,0.0,0.0015263943592459387,0.0022639188050027127,False,False,False,False,equal,0.1902046504564912,0.8370713096641478
HOLD_R1_K050,PE 16:1_22:3,50,R1,False,False,True,False,0.0,,0.0018256002590076776,0.000636996180505379,False,False,False,False,not_jointly_reported,0.12325824954460242,0.9816952449555878
HOLD_R1_K050,PE 16:1_22:4,50,R1,True,True,True,True,1.0922144810703076e-06,0.0,0.004809275088281087,0.002435520194614692,True,False,False,False,down,0.11707440620301834,0.9872300880237134
HOLD_R1_K050,PE 16:1_22:5,50,R1,False,False,True,True,0.0,0.0,0.015488823355578538,0.013121597493758318,False,False,False,False,equal,0.16815322958457346,0.9821921171688058
HOLD_R1_K050,PE 16:1_22:6,50,R1,False,False,False,False,,,7.299198712256871e-05,0.0001910478615037145,False,False,False,False,not_jointly_reported,0.2519478993591113,0.9780045750710121
HOLD_R1_K050,PE 17:0_20:0,50,R1,True,True,True,True,2.538919838670734e-05,7.470564105484627e-06,0.011338718060145478,0.014269359718087129,True,True,True,False,down,0.2698075638945543,0.9206618024583055
HOLD_R1_K050,PE 17:0_20:1,50,R1,False,False,True,False,0.0,,0.0026740054675970042,1.97233791175215e-05,False,False,False,False,not_jointly_reported,0.21935078912512027,0.9551170493571611
HOLD_R1_K050,PE 17:0_20:2,50,R1,False,False,True,False,0.0,,0.003333682076359645,0.0,False,False,False,False,not_jointly_reported,0.1630015495704311,0.9691815015571644
HOLD_R1_K050,PE 17:0_20:3,50,R1,False,False,True,True,0.0,0.0,0.019820819817662857,0.010347944432301734,False,False,False,False,equal,0.15187039632663366,0.9898819477902964
HOLD_R1_K050,PE 17:0_20:4,50,R1,False,False,True,False,0.0,,0.0015984372328609318,8.889052820845522e-05,False,False,False,False,not_jointly_reported,0.1628046691202565,0.9887826418894832
